Patron Type Definition,Total Checkouts,Total Renewals,Circulation Active Year
1,19,4,2015
1,9,27,2012
0,0,0,0
1,2928,323,2016
1,61,47,2016
0,165,27,2014
1,8,4,2014
1,18,0,2016
1,73,0,2013
1,4,0,2013
1,5,28,2014
1,1,0,2016
1,3,0,2016
1,15,15,2014
1,26,12,2013
1,138,70,2015
1,764,31,2016
0,1,0,2013
1,402,151,2011
1,117,11,2016
1,173,228,2015
1,9,6,2014
1,40,19,2016
1,30,7,2016
1,76,11,2016
1,428,860,2016
1,31,23,2015
1,27,19,2015
1,23,0,2014
1,49,30,2016
1,284,65,2013
1,23,4,2016
1,162,22,2016
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,501,915,2016
1,51,0,2014
1,7,10,2016
1,6,0,2014
1,395,4,2016
1,7,6,2016
1,7,6,2016
1,4,0,2015
1,916,286,2016
1,29,7,2013
1,1199,1081,2016
1,7,3,2013
1,23,0,2010
1,10,10,2016
1,1423,669,2016
1,112,97,2015
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,2015
1,10,0,2014
1,0,0,0
1,3,1,2013
1,667,177,2016
1,473,16,2015
1,4,0,2013
1,649,1010,2016
0,2,1,2012
1,128,88,2015
1,35,4,2016
1,102,64,2013
1,3,0,2014
1,7,1,2012
1,16,9,2016
1,1126,15,2016
1,982,83,2016
1,8,0,2014
1,7,0,2014
1,2,5,2016
1,12,3,2014
1,27,42,2014
1,15,41,2008
1,0,0,0
1,0,0,0
1,0,0,0
1,24,12,2015
1,840,166,2014
1,66,16,2013
1,22,15,2014
1,14,0,2012
1,2508,2247,2016
1,270,315,2016
1,11,9,2012
1,5,0,2012
1,12,6,2013
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,39,20,2016
1,4,6,2015
1,4,7,2014
1,20,14,2016
1,2,2,2015
1,388,105,2015
1,253,5,2016
1,2,1,2015
1,249,50,2016
1,76,7,2014
1,30,13,2016
1,1336,1105,2016
1,1,2,2014
1,12,0,2013
1,333,530,2016
1,4,8,2015
1,0,0,0
1,0,0,0
1,9,4,2016
1,847,538,2016
1,153,16,2016
1,436,261,2016
1,23,2,2016
1,124,18,2014
1,753,898,2016
1,53,3,2015
0,0,0,0
1,3,0,2013
1,129,177,2014
1,209,0,2016
1,55,11,2014
1,215,15,2013
1,1051,17,2016
1,473,192,2016
1,69,85,2015
0,1,0,2015
1,62,4,2015
1,131,72,2014
1,18,10,2013
1,64,41,2015
1,35,1,2016
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,14,0,2014
1,276,106,2016
1,435,320,2012
1,266,0,2013
1,972,39,2016
1,4,1,2013
1,251,9,2014
1,32,21,2016
1,8,16,2016
1,12,33,2015
1,2,1,2015
1,641,126,2015
1,7,4,2014
1,86,0,2016
1,10,5,2015
1,4,4,2016
1,1486,1454,2016
1,42,2,2015
1,143,6,2016
1,52,11,2016
1,3,0,2013
1,3,5,2016
1,271,120,2016
1,51,53,2015
1,20,0,2014
1,8,7,2016
1,18,9,2016
1,26,31,2015
1,6,3,2016
1,100,104,2016
1,35,0,2016
1,97,0,2016
1,52,9,2016
1,6,4,2014
1,6,0,2016
1,17,1,2015
1,0,0,2014
1,25,0,2015
1,3,0,2013
1,185,133,2014
1,167,286,2015
1,34,22,2016
1,1983,729,2016
1,6,10,2013
1,1,0,2013
1,2343,646,2016
1,24,33,2014
1,14,7,2016
1,239,462,2016
1,15,2,2013
1,119,14,2014
1,50,16,2015
1,56,22,2016
1,54,15,2016
1,1,0,2014
1,1,0,2013
1,1,0,2013
1,1,0,2013
1,1,0,2013
1,1,0,2013
1,2,0,2012
1,7,4,2015
1,8,0,2013
1,113,14,2015
1,0,0,0
1,14,1,2015
1,116,6,2015
0,1,0,2015
1,4,0,2015
1,32,8,2016
1,3,0,2014
1,2079,13,2016
1,10,0,2008
1,15,15,2009
1,910,255,2015
1,2885,44,2016
1,540,252,2016
1,1,0,2013
0,0,0,2015
1,21,6,2014
1,118,6,2015
1,20,0,2016
1,3,0,2012
1,21,55,2016
1,135,12,2016
1,12,1,2008
1,1305,93,2016
1,97,28,2014
1,15,10,2016
1,25,19,2015
1,668,370,2016
1,6,0,2012
1,46,42,2016
1,88,3,2016
1,81,82,2016
1,8,7,2016
1,54,26,2016
1,19,19,2014
1,97,33,2016
1,478,432,2016
1,292,102,2016
0,2,1,2016
1,6,10,2013
1,2685,3506,2016
1,18,3,2014
1,18,0,2013
1,1,0,2015
1,23,0,2015
1,59,41,2016
1,28,77,2016
1,4,6,2015
1,3,3,2015
1,141,10,2013
1,0,0,2016
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,194,132,2014
1,584,34,2016
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,89,88,2015
1,53,3,2016
1,43,2,2013
1,152,144,2016
1,7,3,2013
1,11,27,2016
1,14,0,2015
1,38,46,2015
1,17,0,2014
1,230,212,2016
1,0,0,2012
1,2,2,2013
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,294,638,2016
1,14,5,2016
1,14,8,2016
1,1230,661,2016
1,8,0,2015
1,66,4,2014
1,8,1,2013
1,2,0,2013
1,9,0,2016
1,391,28,2016
1,954,14,2014
1,112,30,2016
1,22,21,2015
1,176,277,2015
1,176,58,2016
1,1,1,2014
1,11,0,2013
1,1,0,2016
1,345,279,2015
1,1,0,2016
1,137,29,2015
1,34,0,2014
1,226,444,2016
1,42,4,2014
1,7,0,2015
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,5,0,2014
1,3,6,2012
1,1,1,2012
1,124,231,2016
1,35,56,2013
0,7,0,2015
1,90,31,2016
1,42,7,2015
1,2,0,2016
1,13,18,2015
1,234,166,2015
1,186,218,2015
1,466,145,2016
1,0,0,2013
1,13,0,2016
1,58,59,2015
1,84,61,2016
1,19,0,2014
1,8,0,2014
1,91,62,2015
1,5,11,2013
1,14,0,2015
1,85,16,2015
1,4,0,2015
1,288,113,2015
1,0,0,2012
0,409,103,2016
1,23,15,2014
1,4,0,2013
1,624,87,2012
1,10,0,2013
1,17,10,2012
1,48,0,2013
1,55,52,2014
1,16,8,2011
1,25,15,2016
1,25,69,2016
1,430,71,2016
1,61,0,2016
1,2,0,2015
1,2226,2,2016
1,22,0,2014
1,3,0,2014
1,591,56,2016
1,58,0,2015
1,3,6,2014
1,26,0,2016
1,3,2,2016
1,1,0,2016
1,33,88,2014
1,63,0,2014
1,16,0,2015
1,700,18,2016
1,0,0,0
1,163,81,2016
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,131,19,2016
1,45,21,2016
0,1,0,2013
0,1,0,2013
1,11,6,2015
0,44,3,2015
1,60,34,2011
1,47,13,2016
1,235,73,2016
1,0,0,0
1,10,7,2016
1,23,2,2014
1,230,0,2013
1,10,0,2014
1,15,26,2016
1,29,0,2015
1,39,0,2015
1,349,152,2016
1,237,75,2015
1,366,0,2016
1,53,0,2013
1,0,0,0
1,16,23,2013
1,90,44,2013
1,1,1,2012
1,1,1,2014
1,272,227,2016
1,34,3,2016
1,12,16,2015
1,10,5,2016
1,22,18,2014
1,2,0,2014
1,73,16,2015
1,85,16,2015
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,37,0,2015
1,5,0,2016
1,14,28,2016
1,46,38,2016
0,6,1,2013
1,6,0,2015
1,12,0,2016
1,8,0,2016
0,2,0,2014
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,2,0,2015
1,14,3,2015
1,2,2,2014
1,31,11,2014
1,212,41,2016
1,5,0,2015
1,14,32,2013
1,1,0,2015
1,0,0,2011
1,2,0,2015
1,13,21,2013
1,51,80,2016
1,4,0,2014
1,5,10,2016
1,0,0,0
1,6,2,2015
1,6,0,2013
1,143,212,2016
1,7,9,2014
0,0,0,0
1,33,6,2014
1,140,4,2016
1,3,7,2016
1,681,512,2016
1,1,0,2016
1,40,7,2015
1,145,168,2016
1,3,1,2016
1,5,6,2013
1,12,2,2015
1,100,11,2015
1,53,32,2016
1,61,53,2014
1,237,132,2016
1,1,0,2014
1,205,123,2015
1,201,15,2015
0,1,0,2014
0,1,0,2014
1,50,2,2016
1,759,241,2016
1,2,0,2013
1,230,0,2014
1,167,23,2014
1,10,0,2016
1,160,101,2015
1,386,140,2016
1,41,0,2010
1,1,1,2015
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,121,61,2016
1,36,1,2015
1,9,0,2016
1,4,6,2015
1,124,125,2016
1,2,0,2016
1,1,0,2015
1,7,3,2016
1,56,92,2014
1,324,261,2016
1,1,3,2015
1,4,0,2013
1,1006,525,2016
1,12,0,2013
1,113,13,2015
1,275,106,2016
1,2,3,2016
1,346,108,2013
0,0,0,2015
1,2,0,2015
1,37,130,2014
1,1150,6,2013
1,1010,253,2016
1,77,1,2014
1,0,0,2014
1,592,70,2014
1,23,0,2016
1,197,50,2016
1,5,4,2016
1,26,0,2014
1,113,73,2016
1,3,0,2015
1,145,191,2016
1,224,52,2016
1,5,4,2016
1,9,2,2014
2,16,1,2015
1,7,29,2009
1,125,39,2013
1,1,0,2016
0,2,0,2016
0,0,0,0
1,0,0,2016
1,10,0,2012
1,7,11,2016
1,4,0,2016
1,4,0,2016
1,79,15,2015
1,311,162,2016
1,9,0,2014
1,5,0,2015
1,61,4,2013
1,241,68,2016
1,19,0,2016
1,11,0,2016
1,940,135,2015
1,50,102,2013
1,6,2,2013
1,0,0,0
1,2,4,2016
1,1,0,2010
1,10,18,2015
1,8,32,2015
1,42,17,2013
0,1,0,2015
1,5,0,2013
1,11,3,2015
1,5,0,2012
1,98,83,2016
1,34,18,2014
1,50,48,2015
1,162,125,2016
1,12,1,2016
1,173,193,2016
1,1710,1005,2016
1,59,8,2013
1,47,5,2015
1,64,53,2015
1,1,0,2014
1,1,0,2014
1,1,0,2014
1,33,0,2014
1,7,0,2015
1,0,0,2015
1,2,2,2013
1,33,1,2013
1,22,0,2016
1,507,59,2016
1,37,0,2015
1,61,21,2016
1,11,1,2015
1,843,2,2016
1,163,7,2014
1,16,0,2013
1,115,100,2015
1,38,0,2014
1,27,0,2013
1,55,35,2015
0,26,0,2016
1,29,4,2013
1,24,12,2015
1,3,3,2015
1,4,0,2014
1,9,10,2015
1,139,9,2013
1,59,32,2015
1,0,0,2014
0,0,0,0
1,570,277,2016
1,36,2,2016
0,0,0,0
0,0,0,0
1,1,0,2016
1,26,20,2008
1,632,835,2016
1,1,0,2013
1,72,34,2015
1,19,13,2015
1,1578,1152,2016
1,21,0,2014
1,0,0,0
1,0,0,0
1,144,8,2014
1,8,0,2016
1,40,11,2014
1,2,0,2016
1,25,56,2013
1,1,0,2012
1,166,12,2016
1,25,0,2014
1,3,5,2015
0,2,1,2015
0,8,2,2014
1,17,25,2016
1,13,1,2016
1,17,0,2013
1,8,0,2013
1,43,82,2014
1,41,13,2014
1,25,0,2014
1,1189,554,2016
1,1,0,2013
1,29,19,2013
1,110,77,2016
1,61,8,2011
1,893,13,2016
1,119,61,2015
1,770,249,2016
1,9,0,2014
1,462,872,2016
1,334,177,2016
1,17,19,2012
1,210,28,2016
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,1,0,2015
1,1099,326,2014
1,274,357,2016
1,166,72,2016
1,46,8,2014
1,17,10,2013
1,10,0,2016
1,8,16,2014
1,66,24,2014
1,1,0,2013
1,5,0,2016
1,1,0,2013
1,1,0,2013
1,16,0,2014
1,13,4,2013
0,0,0,0
1,1,0,2015
1,1749,391,2016
1,0,0,0
1,221,178,2016
1,0,0,2016
1,0,0,2016
1,64,33,2013
1,63,4,2015
1,47,50,2013
1,231,24,2014
1,10,0,2014
1,35,0,2015
1,0,0,0
1,3,0,2014
1,93,7,2016
1,20,32,2015
0,1,0,2014
1,153,199,2016
1,41,0,2014
1,192,137,2016
1,1,1,2016
1,474,56,2015
1,3,0,2014
1,1,2,2015
1,50,40,2016
1,43,32,2016
0,27,0,2016
1,13,31,2015
1,7,8,2015
1,2,0,2014
1,4,0,2016
1,19,0,2012
1,13,1,2015
1,11,12,2008
1,4,0,2015
1,61,10,2015
1,113,0,2014
1,259,21,2014
1,112,200,2014
1,230,31,2016
1,24,7,2014
1,36,3,2016
0,1,0,2015
1,19,9,2014
1,503,123,2016
1,29,37,2016
1,25,27,2014
1,83,35,2015
1,4,0,2014
1,14,4,2016
1,3,0,2014
0,0,0,0
1,125,18,2013
1,182,9,2016
1,2,0,2014
1,397,310,2016
1,200,26,2016
1,25,12,2015
1,1,0,2015
1,397,239,2016
1,1,0,2013
1,128,0,2016
1,4,11,2013
1,21,26,2015
1,0,0,2015
1,260,154,2016
1,33,8,2013
1,5,0,2014
1,15,0,2015
1,108,25,2016
1,0,0,2013
1,24,22,2010
1,5,4,2015
1,11,2,2015
1,5485,4349,2016
1,41,15,2015
1,67,41,2013
1,20,0,2016
1,0,0,0
1,9,3,2015
1,78,180,2015
1,192,5,2015
1,69,42,2016
1,7,0,2014
1,89,18,2013
1,7,14,2015
0,1,0,2015
0,0,0,2016
1,36,19,2013
1,119,104,2016
1,1491,111,2016
1,40,29,2013
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,1,2,2016
1,63,2,2016
1,75,21,2014
1,3,0,2015
1,0,0,0
1,138,4,2016
1,4,1,2014
1,2,0,2015
1,165,314,2016
1,218,172,2016
1,32,0,2014
1,35,1,2014
1,4,0,2015
1,14,7,2014
1,66,0,2016
1,34,23,2014
1,3,0,2013
1,552,10,2016
1,9,2,2016
1,6,0,2016
1,6,0,2016
1,35,24,2016
1,16,26,2016
1,30,8,2014
1,12,5,2016
1,0,0,2016
1,25,0,2015
1,88,103,2013
1,52,69,2016
1,43,105,2016
1,437,52,2016
1,13,7,2014
1,3,0,2007
1,220,28,2016
1,11,29,2014
1,13,10,2015
1,0,0,0
1,9471,834,2016
1,0,0,0
1,6,11,2012
1,223,319,2016
1,53,0,2014
1,28,1,2015
1,124,24,2016
1,7,0,2015
1,107,133,2016
1,3,0,2009
1,16,2,2016
1,45,13,2016
0,0,0,2015
1,24,21,2014
1,8,1,2015
1,26,0,2016
1,304,135,2016
0,0,0,2016
0,0,0,2016
1,3,7,2015
1,238,3,2015
1,2,0,2014
1,230,118,2016
1,0,0,2013
1,13,3,2013
1,662,603,2016
1,0,0,0
1,0,0,0
1,0,0,0
1,400,26,2016
1,26,1,2015
1,349,275,2016
1,257,454,2015
0,22,10,2015
0,3,0,2012
1,166,1,2016
1,8,4,2016
1,11,4,2016
1,6,12,2015
1,13,1,2013
1,7,0,2014
1,22,10,2015
1,0,0,0
1,5,0,2014
1,54,12,2016
1,515,146,2016
1,87,94,2014
1,5,2,2014
1,4,0,2016
1,12,0,2013
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,1,0,2016
1,1,0,2013
1,334,54,2015
1,220,100,2016
1,3,9,2015
1,0,0,0
1,0,0,0
0,71,87,2014
1,226,0,2016
1,490,568,2015
1,135,21,2016
1,56,124,2016
1,1,0,2016
1,5,2,2016
0,1,0,2016
0,1,0,2016
1,251,24,2016
1,231,24,2016
1,1055,618,2016
1,3,1,2013
1,3,0,2013
1,70,38,2015
1,7,0,2013
1,0,0,0
1,0,0,0
1,0,0,0
1,6,0,2010
1,9,7,2014
1,81,32,2016
1,230,6,2016
1,2,4,2015
1,6,0,2015
1,150,327,2016
0,1,0,2014
1,7,0,2015
1,26,0,2016
1,1,1,2015
0,1,0,2014
1,9,7,2015
1,1,0,2016
1,46,30,2015
1,7,10,2016
1,5,0,2015
1,5,0,2013
1,119,15,2014
1,163,17,2015
1,863,548,2015
1,42,9,2014
1,49,62,2016
1,190,28,2016
1,96,150,2016
1,40,17,2014
1,2,0,2016
1,26,7,2009
1,4,12,2014
1,4,0,2016
1,4,0,2007
1,9,5,2013
1,1,6,2015
1,117,1,2011
1,4,0,2010
1,201,112,2014
1,53,4,2013
1,141,157,2015
1,7,0,2014
1,2,0,2015
1,368,224,2016
1,694,510,2016
1,1331,343,2013
1,14,0,2014
1,0,0,0
1,0,0,0
1,4,2,2013
1,18,0,2016
1,129,36,2015
1,0,0,0
1,0,0,0
1,53,40,2016
1,2,6,2013
1,2,8,2015
1,11,2,2015
1,468,127,2016
1,180,11,2016
1,5,0,2009
1,124,164,2015
1,31,1,2016
1,20,9,2010
1,17,3,2016
1,128,246,2016
1,7,7,2016
1,51,74,2016
1,177,0,2010
1,772,119,2016
1,16,0,2016
1,40,20,2015
0,5,4,2015
1,21,0,2013
1,1043,615,2016
1,10,10,2015
1,319,7,2014
1,18,6,2014
0,20,0,2016
1,137,37,2015
1,216,1,2016
1,57,6,2013
1,1,1,2014
1,17,52,2016
1,96,0,2013
1,169,16,2016
1,3,0,2015
1,54,26,2016
1,8,0,2007
1,982,1648,2016
1,0,0,2016
1,1,0,2014
1,12,0,2015
1,0,0,2013
1,0,0,0
1,5,10,2013
1,9,24,2016
1,3,3,2014
1,0,0,0
1,23,0,2015
1,6,0,2016
1,101,3,2016
1,1092,1577,2016
1,24,2,2015
1,9,9,2016
1,5,1,2016
1,23,33,2016
1,66,4,2015
1,2,8,2016
1,19,29,2014
1,63,65,2013
1,148,0,2015
1,3,0,2015
1,3,0,2016
1,308,0,2014
1,48,70,2014
1,275,245,2015
1,4,1,2013
1,3,0,2016
1,2,0,2012
1,4247,3386,2016
1,781,388,2016
1,270,77,2014
1,1897,42,2016
1,61,7,2016
1,1082,60,2016
1,13,2,2013
1,1,0,2014
1,3,1,2014
1,32,2,2016
1,0,0,0
1,12,15,2014
1,199,32,2016
1,23,40,2013
1,2018,0,2016
1,3,0,2016
1,22,10,2016
1,1,0,2013
1,2,0,2016
1,2,0,2015
1,1814,885,2016
1,2,8,2012
1,11,0,2014
1,23,5,2015
1,5,3,2016
1,39,0,2015
1,26,22,2015
1,164,146,2013
1,59,7,2015
1,23,0,2012
1,39,84,2016
1,4,4,2014
1,16,6,2015
1,774,460,2016
1,65,23,2013
1,22,1,2014
1,110,37,2009
1,1,0,2012
1,1,0,2012
1,0,0,2014
1,47,59,2014
0,4,0,2013
1,70,12,2015
1,8,0,2010
1,17,0,2014
1,2024,151,2011
1,17,29,2013
1,8,3,2014
0,1,0,2014
1,9,2,2013
0,1,0,2015
1,8,2,2015
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,36,10,2013
1,2,5,2015
1,125,157,2016
1,87,1,2013
1,9,1,2014
1,4,0,2015
1,69,71,2013
1,636,630,2016
1,1,0,2012
1,10,0,2014
1,28,6,2013
1,372,56,2016
1,71,21,2016
1,166,6,2013
1,390,211,2015
1,52,35,2016
1,14,13,2015
1,7,2,2013
1,161,38,2015
1,1,0,2015
1,6,0,2015
1,48,6,2012
0,0,0,0
1,117,83,2014
1,454,78,2016
1,571,290,2016
1,754,18,2016
1,17,0,2010
1,21,2,2014
0,0,0,0
1,63,28,2012
1,15,0,2015
1,15,0,2013
1,14,4,2016
1,100,35,2015
1,2,2,2013
1,6,6,2016
1,45,6,2015
1,15,40,2016
1,37,80,2015
0,1,0,2015
0,1,0,2015
0,1,0,2015
1,0,0,0
1,1,0,2016
1,228,293,2016
1,15,17,2016
1,30,1,2014
1,145,211,2016
1,136,135,2013
1,9,5,2014
1,1,1,2013
1,89,18,2014
1,238,0,2015
1,2,6,2013
0,1,0,2014
1,12,6,2014
1,7,2,2015
1,214,51,2016
1,235,70,2016
1,194,19,2016
1,67,45,2016
1,153,51,2014
1,9,1,2014
1,9,1,2015
1,35,41,2015
1,90,23,2014
1,0,0,0
1,5,8,2014
1,40,18,2015
1,43,53,2013
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,23,9,2015
1,20,28,2016
1,1236,208,2016
1,32,6,2013
1,186,205,2016
1,230,5,2016
1,3,0,2009
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,10,2,2015
1,199,22,2016
1,176,130,2016
1,4,2,2016
1,2,4,2014
0,411,89,2016
1,35,8,2015
1,7,15,2014
1,36,46,2015
1,1,1,2016
1,2,0,2009
1,1,1,2012
1,18,24,2014
1,47,2,2016
1,100,4,2016
1,414,243,2016
1,67,0,2015
1,17,32,2014
1,69,60,2016
1,459,24,2015
1,1,0,2015
1,17,2,2014
1,6,4,2016
1,14,0,2012
1,61,21,2013
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,922,351,2016
1,950,1299,2016
1,274,73,2016
1,24,56,2014
1,39,3,2015
1,35,40,2014
1,623,93,2012
1,199,50,2014
1,529,28,2016
1,1,1,2013
1,1261,1881,2014
1,0,0,0
1,0,0,0
1,2251,1,2016
1,93,13,2015
1,65,144,2014
1,11,0,2016
1,59,3,2015
1,1047,1523,2016
1,272,127,2016
1,48,7,2014
1,0,0,0
1,0,0,0
1,423,13,2014
1,36,5,2016
1,5,10,2015
1,82,22,2016
1,11,0,2015
1,1,3,2015
1,72,48,2016
0,64,6,2015
1,71,59,2014
1,5,1,2014
1,18,4,2011
1,22,4,2016
1,0,0,0
1,14,0,2016
1,2,6,2016
1,27,16,2016
1,133,115,2016
1,3,0,2013
1,15,10,2016
1,4,3,2015
1,12,0,2015
1,61,21,2015
1,15,29,2013
1,3,1,2013
1,1,0,2014
1,61,75,2013
1,1174,397,2016
1,187,0,2016
1,187,94,2015
1,98,28,2016
1,5,4,2016
1,7,12,2014
1,58,1,2015
1,703,397,2016
1,15,6,2016
1,7,1,2015
1,10,3,2013
1,61,49,2016
1,947,114,2016
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,18,8,2011
1,17,0,2015
1,692,56,2016
1,18,7,2013
1,91,9,2014
1,0,0,2015
0,0,0,0
0,0,0,0
0,1,0,2015
1,2,4,2016
1,36,14,2016
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,832,3,2014
1,54,94,2013
1,22,17,2015
1,20,29,2015
1,83,4,2014
1,14,6,2012
1,27,2,2016
0,1,0,2015
1,18,1,2012
1,17,0,2010
1,12,0,2013
1,62,18,2015
1,520,154,2015
1,21,15,2016
1,687,18,2016
1,2,2,2016
1,11,0,2012
1,215,358,2016
1,69,25,2016
1,40,59,2015
1,2,0,2015
1,47,0,2016
1,0,0,0
1,6,0,2013
1,70,57,2016
1,288,4,2016
1,2280,2620,2016
1,5,1,2015
1,103,43,2015
1,333,112,2016
1,2293,331,2015
1,72,70,2016
1,23,19,2015
1,1,0,2016
1,267,19,2016
1,0,0,0
1,2,0,2015
1,353,522,2016
0,11,5,2015
1,25,1,2015
0,85,4,2016
1,5,6,2013
1,5,4,2014
1,38,69,2013
1,123,9,2014
1,52,41,2009
1,291,303,2016
1,13,16,2009
1,14,21,2013
1,5,0,2016
1,2,1,2013
1,291,3,2015
1,1,0,2014
1,30,0,2013
1,51,6,2016
1,39,8,2015
1,26,14,2014
1,7,2,2015
1,3,2,2015
1,32,16,2016
0,0,0,0
1,2,3,2016
1,368,113,2016
1,281,18,2014
1,36,75,2014
1,1838,74,2016
1,7,0,2015
1,35,0,2014
1,6,0,2015
1,153,55,2016
1,58,39,2014
1,44,46,2014
1,5,0,2015
1,2,4,2014
0,0,0,0
0,2,0,2015
1,4968,1713,2016
1,5,15,2014
1,76,72,2014
1,1,0,2016
1,253,201,2016
1,49,36,2016
1,212,84,2012
1,5,0,2015
0,0,0,0
1,1,0,2012
1,23,9,2016
1,110,17,2016
1,0,0,0
1,1,0,2015
1,1,0,2015
0,0,0,2014
1,9,13,2016
1,27,12,2015
1,173,15,2015
1,333,454,2013
1,1,0,2015
1,62,31,2009
1,1878,535,2016
1,46,38,2014
1,13,0,2014
1,5,5,2015
1,166,36,2016
1,28,7,2013
1,26,0,2013
1,28,10,2015
1,2,0,2013
1,172,0,2016
1,12,5,2014
1,13,22,2015
1,0,0,2016
1,16,14,2015
1,94,56,2016
1,16,8,2016
1,129,237,2015
1,7,8,2016
1,6,0,2016
1,188,229,2016
1,0,0,0
1,4,0,2015
1,6,0,2013
1,34,9,2015
1,6,5,2014
1,99,10,2013
1,3969,341,2014
1,1,0,2015
1,3,0,2013
1,35,2,2015
1,1,1,2015
1,9,0,2012
1,1,0,2016
1,8,2,2016
1,7,11,2013
1,28,35,2015
1,79,0,2016
1,99,5,2016
1,10,5,2015
1,5,0,2016
1,5,0,2015
1,20,0,2016
1,99,82,2014
1,124,7,2015
1,4,0,2016
1,18,13,2016
1,443,7,2015
1,227,3,2015
1,90,26,2015
1,231,39,2015
1,102,82,2016
1,210,36,2014
