Patron Type Definition,Total Checkouts,Total Renewals,Circulation Active Year
1,692,85,2013
1,909,1145,2016
1,1764,1012,2016
1,2625,1416,2016
1,0,0,0
1,138,18,2014
1,1509,48,2015
1,96,6,2014
1,4,0,2012
1,317,406,2016
1,140,34,2016
1,519,259,2016
1,9,5,2012
1,12740,2209,2016
1,11,10,2015
1,1116,903,2016
1,348,308,2014
1,672,195,2016
1,60,16,2015
1,631,7,2015
1,851,562,2016
1,790,190,2016
1,1265,718,2016
1,269,36,2016
1,255,383,2016
1,102,119,2016
1,129,4,2013
1,138,33,2015
1,87,94,2014
1,999,127,2016
1,13,26,2016
1,158,21,2016
1,38,10,2016
1,101,37,2014
1,1709,2659,2016
1,13,0,2005
1,187,39,2016
1,1832,2,2016
1,868,239,2016
1,43,10,2016
1,576,155,2016
1,593,637,2016
1,333,225,2016
1,103,98,2016
1,849,616,2013
1,1364,1493,2016
1,1283,119,2016
1,106,3,2016
1,473,141,2016
1,166,19,2013
1,80,80,2016
1,47,5,2011
1,36,0,2015
0,0,0,0
1,8,8,2016
1,716,283,2016
1,41,33,2016
1,501,94,2016
1,2,0,2007
1,0,0,0
1,0,0,0
1,144,229,2016
1,430,247,2016
1,3,0,2016
1,5,0,2015
1,17,5,2016
1,50,89,2015
1,3,3,2012
1,44,0,2016
1,938,357,2016
1,14,3,2015
1,43,34,2015
0,1,0,2013
0,1,0,2013
1,5,3,2016
1,26,0,2016
1,1031,297,2015
1,1018,1625,2016
1,6,0,2014
1,127,112,2014
1,74,54,2016
1,349,301,2016
1,660,2,2016
1,89,24,2015
1,1,0,2015
1,1,2,2013
1,2,0,2015
1,231,271,2016
1,22,20,2016
1,0,0,2013
1,357,16,2016
1,40,19,2015
1,7,1,2007
1,227,127,2016
1,486,272,2016
1,2,0,2013
1,3,4,2013
1,26,10,2013
1,72,3,2014
1,81,1,2016
1,80,20,2014
1,1372,439,2016
1,459,148,2016
1,357,314,2014
1,3,0,2015
1,47,9,2015
1,7,0,2015
1,102,150,2016
0,3,8,2015
1,7,5,2016
1,142,50,2015
1,7,4,2013
1,4,8,2009
1,35,10,2014
1,54,5,2014
1,21,0,2015
1,113,88,2014
1,4,2,2016
1,79,12,2015
1,34,5,2016
1,80,14,2012
1,130,15,2014
1,56,24,2014
1,102,11,2016
1,41,3,2014
1,4,5,2015
1,82,110,2014
0,4,0,2015
1,14,5,2015
1,2,4,2014
1,14,0,2013
1,53,40,2013
1,1754,882,2016
0,1,1,2013
1,57,25,2013
1,520,256,2013
1,38,14,2016
1,45,51,2016
1,14,30,2015
1,25,22,2016
1,45,16,2014
1,7,0,2016
1,852,1553,2016
1,295,176,2016
1,2,0,2014
0,1,0,2014
1,18,6,2011
1,32,6,2015
1,9,0,2010
1,1703,5,2014
1,0,0,2015
1,2918,684,2016
1,45,104,2016
1,134,29,2016
1,125,54,2012
1,2,0,2013
1,620,894,2015
1,6,0,2013
1,37,20,2015
1,367,236,2016
1,59,10,2013
1,26,8,2016
1,418,154,2016
1,244,75,2015
1,4,8,2015
1,7,3,2012
1,40,0,2013
0,0,0,0
1,104,191,2016
1,48,28,2016
1,43,5,2016
1,23,6,2010
1,1,3,2016
0,1774,562,2016
1,7,0,2015
1,54,110,2010
1,138,167,2013
1,4,1,2015
1,1,0,2013
1,22,2,2014
1,1,1,2016
1,0,0,0
1,0,0,0
1,29,9,2015
1,596,8,2014
1,11,0,2013
1,8,0,2012
1,7,1,2016
1,285,381,2016
1,25,27,2015
1,20,4,2015
1,26,6,2014
1,83,23,2013
1,60,33,2016
1,59,0,2015
1,5,0,2014
1,373,46,2016
1,32,35,2016
1,122,52,2015
1,125,72,2016
1,37,6,2014
1,1,0,2015
1,454,396,2016
0,1,3,2015
1,1,0,2015
1,57,21,2016
1,28,6,2015
1,104,10,2015
1,712,323,2016
1,8,7,2016
1,66,5,2016
1,6,3,2016
1,6,3,2016
1,88,132,2013
1,3,2,2016
1,56,43,2016
1,146,46,2015
1,238,32,2016
1,53,35,2010
1,8,3,2015
1,113,32,2014
0,83,5,2016
1,19,11,2007
1,5,0,2012
1,200,183,2014
1,2,6,2015
1,27,0,2016
1,119,47,2013
1,6,1,2016
1,3,0,2014
1,489,48,2016
1,29,1,2012
1,1071,493,2016
1,12,0,2015
0,30,0,2016
1,860,432,2016
1,45,11,2016
1,5,0,2013
1,11,0,2014
1,96,6,2014
1,256,117,2016
1,807,0,2015
1,12,0,2015
1,35,5,2015
0,0,0,0
0,0,0,0
1,7,1,2016
1,120,7,2014
1,4,1,2014
1,166,104,2015
1,40,0,2015
1,5,0,2016
1,189,206,2013
1,2,3,2013
1,22,34,2015
1,23,0,2016
1,12,0,2015
1,16,0,2015
0,19,0,2015
1,9,1,2015
1,0,0,0
1,0,0,0
1,62,36,2013
1,24,19,2015
1,44,39,2016
1,518,97,2016
1,108,167,2016
1,7,0,2015
1,9,4,2013
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,555,0,2016
1,6,0,2014
1,353,209,2016
1,598,217,2016
1,0,0,0
1,232,36,2016
1,110,6,2014
1,43,53,2016
1,436,133,2016
1,0,0,0
1,190,241,2016
1,134,56,2016
1,613,852,2016
1,2,1,2016
1,2,1,2016
1,146,9,2012
1,6,14,2014
0,1,3,2013
1,4,10,2013
1,26,28,2014
1,3,0,2014
1,352,190,2013
1,254,266,2015
1,1,2,2015
1,20,29,2016
1,4,0,2013
1,25,9,2014
1,511,232,2016
1,7,0,2016
1,30,5,2016
1,11,13,2014
1,27,53,2016
1,484,1,2015
1,25,1,2015
1,0,0,2014
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,208,1,2014
1,90,90,2016
1,305,1,2015
1,963,391,2014
1,633,570,2016
1,10,0,2016
1,432,71,2016
1,1,3,2014
1,2,0,2015
1,57,0,2013
1,6,12,2015
1,15,16,2013
1,48,0,2013
1,32,19,2015
1,9,0,2013
1,221,140,2016
0,1,0,2014
1,4,0,2008
1,691,253,2013
1,0,0,0
1,0,0,0
1,0,0,0
1,397,253,2013
1,166,37,2016
1,310,134,2016
1,20,21,2014
0,17,12,2016
1,1709,836,2016
1,16,11,2014
1,319,127,2014
1,689,37,2016
1,11,11,2014
1,17,1,2013
1,9,0,2014
0,0,0,0
1,76,62,2015
1,219,276,2016
1,1,0,2014
1,3,0,2015
1,82,28,2016
1,7,8,2015
1,54,12,2015
1,12,7,2014
1,214,83,2016
1,1,0,2015
1,1,0,2015
1,6,2,2015
1,23,12,2016
1,0,0,0
1,0,0,0
1,0,0,0
