Library_Full_Name,Ontario_Library_Service_Region,Type_of_Library_Service,City/Town,No_of_Active_Library_Cardholders,Total_Operating_Revenues,Physical_materials,Electronic_materials,Librarians,Library_Technicians,Total_circulation_of_all_library_materials,No_of_standard_reference_transactions,No_of_electronic_reference_transactions,No_of_Readers_Advisory_transactions,Number_of_technology_support_requests
Orangeville,Southern Ontario Library Service,Public or Union Library,Orangeville,6916,2395357,83441,78510,4,2,4472,91,8,43,14
Orillia,Southern Ontario Library Service,Public or Union Library,Orillia,21310,3083232,125349,83600,6,1,9841,657,226,106,34
Oro-Medonte Twp,Southern Ontario Library Service,Contracting Municipality,Oro-Medonte,0,300573,0,0,0,0,0,0,0,0,0
Oshawa,Southern Ontario Library Service,Public or Union Library,Oshawa,43165,9963601,448467,506396,21,6,19701,205,25,75,166
Otonabee-South Monaghan Twp,Southern Ontario Library Service,Public or Union Library,Keened,583,271278,17588,4358,0,0,551,9,4,10,3
Ottawa,Southern Ontario Library Service,Public or Union Library,Ottawa,244544,57169564,3406200,3057627,75,110,224017,2549,565,1562,3090
Owen Sound & North Grey Union,Southern Ontario Library Service,Public or Union Library,Owen Sound,10767,2110879,127831,65253,3,5,5225,72,6,44,101
Oxford County,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",Woodstock,17167,5190698,259694,232067,9,4,12410,146,36,94,71
Papineau-Cameron Twp,Ontario Library Service - North,Contracting Municipality,Mattawa,0,1878,0,0,0,0,0,0,0,0,0
Parry Sound,Ontario Library Service - North,Public or Union Library,Parry Sound,2336,500768,21283,3710,0,1,1045,42,2,31,11
Pembroke,Southern Ontario Library Service,Public or Union Library,Pembroke,2894,761310,43288,14126,1,0,2065,460,8,14,29
Penetanguishene,Southern Ontario Library Service,Public or Union Library,Penetanguishene,4821,587119,31500,10476,1,1,4594,441,170,102,3088
Perry Twp,Ontario Library Service - North,Public or Union Library,Emsdale,396,156658,9742,2860,0,0,157,1,0,2,1
Perth and District Union,Southern Ontario Library Service,Public or Union Library,Perth,6267,878578,55083,25742,1,2,2965,94,2,92,282
Perth East,Southern Ontario Library Service,Public or Union Library,Milverton,1062,389831,24659,7311,1,0,1047,12,0,25,10
Perth South Twp,Southern Ontario Library Service,Contracting Municipality,St. Pauls,0,126052,0,0,0,0,0,0,0,0,0
